Angle, Intensity
-0.099,0
-0.097,0
-0.095,0
-0.093,0
-0.091,0
-0.089,0
-0.087,0
-0.085,0
-0.083,1
-0.081,0
-0.079,0
-0.077,0
-0.075,0
-0.073,0
-0.071,0
-0.069,0
-0.067,1
-0.065,0
-0.063,1
-0.061,0
-0.059,0
-0.057,0
-0.055,0
-0.053,3
-0.051,2
-0.049,0
-0.047,0
-0.045,0
-0.043,0
-0.041,0
-0.039,0
-0.037,0
-0.035,0
-0.033,1
-0.031,1
-0.029,2
-0.027,1
-0.025,5
-0.023,4
-0.021,2
-0.019,11
-0.017,8
-0.015,18
-0.013,140
-0.011,751
-0.009,4469
-0.007,25446
-0.005,128356
-0.003,525836
-0.001,1459197
0.001,3005045
0.003,4067560
0.005,3837683
0.007,2970808
0.009,2022830
0.011,1301809
0.013,861400
0.015,688653
0.017,585164
0.019,555955
0.021,560547
0.023,584467
0.025,616064
0.027,654148
0.029,695130
0.031,739213
0.033,783271
0.035,827867
0.037,869913
0.039,913825
0.041,955136
0.043,998151
0.045,956957
0.047,1002363
0.049,1042586
0.051,1068793
0.053,1107264
0.055,1148436
0.057,1199463
0.059,1211654
0.061,1246183
0.063,1275164
0.065,1321519
0.067,1334002
0.069,1380649
0.071,1412915
0.073,1461971
0.075,1473213
0.077,1510662
0.079,1539570
0.081,1561689
0.083,1598919
0.085,1640675
0.087,1669437
0.089,1678635
0.091,1727983
0.093,1742583
0.095,1780397
0.097,1779302
0.099,1824416
0.101,1850112
0.103,1877925
0.105,1872450
0.107,1896686
0.109,1919024
0.111,1948151
0.113,1990272
0.115,1995090
0.117,2010639
0.119,2055534
0.121,2062980
0.123,2092545
0.125,2128534
0.127,2100721
0.129,2152989
0.131,2149704
0.133,2197081
0.135,2220660
0.137,2226865
0.139,2265847
0.141,2251612
0.143,2254897
0.145,2303442
0.147,2315049
0.149,2308406
0.151,2351914
0.153,2344687
0.155,2371770
0.157,2374471
0.159,2389363
0.161,2396955
0.163,2422213
0.165,2459589
0.167,2417687
0.169,2459954
0.171,2480394
0.173,2480759
0.175,2499009
0.177,2504922
0.179,2533173
0.181,2521201
0.183,2547846
0.185,2541203
0.187,2550985
0.189,2568578
0.191,2574783
0.193,2597486
0.195,2608144
0.197,2621868
0.199,2614422
0.201,2625737
0.203,2619532
0.205,2631212
0.207,2647564
0.209,2680852
0.211,2635592
0.213,2655740
0.215,2655886
0.217,2676034
0.219,2645593
0.221,2676764
0.223,2652455
0.225,2670194
0.227,2696474
0.229,2694357
0.231,2663478
0.233,2701219
0.235,2669026
0.237,2681874
0.239,2691583
0.241,2716549
0.243,2666909
0.245,2692459
0.247,2669683
0.249,2665084
0.251,2667566
0.253,2672603
0.255,2644498
0.257,2669099
0.259,2623693
0.261,2631358
0.263,2627927
0.265,2612743
0.267,2613473
0.269,2551496
0.271,2550547
0.273,2514339
0.275,2476306
0.277,2447982
0.279,2381990
0.281,2349578
0.283,2271833
0.285,2167443
0.287,2022903
0.289,1898949
0.291,1762001
0.293,1609650
0.295,1466424
0.297,1335243
0.299,1206690
0.301,1092299
0.303,998932
0.305,933013
0.307,854246
0.309,802854
0.311,799524
0.313,746749
0.315,698561
0.317,656347
0.319,617906
0.321,583631
0.323,547724
0.325,519334
0.327,491878
0.329,467513
0.331,445935
0.333,421887
0.335,402117
0.337,383749
0.339,367513
0.341,351886
0.343,337650
0.345,326612
0.347,312442
0.349,300819
0.351,288903
0.353,278390
0.355,266997
0.357,257685
0.359,248238
0.361,239100
0.363,229724
0.365,221537
0.367,212778
0.369,204218
0.371,197796
0.373,190354
0.375,184316
0.377,178512
0.379,173048
0.381,168135
0.383,163389
0.385,157588
0.387,153309
0.389,148531
0.391,144536
0.393,139632
0.395,136553
0.397,132131
0.399,128446
0.401,124678
0.403,121380
0.405,117415
0.407,114596
0.409,111167
0.411,108345
0.413,105356
0.415,102306
0.417,99582
0.419,98003
0.421,94095
0.423,91960
0.425,90597
0.427,87643
0.429,85182
0.431,82821
0.433,81503
0.435,79682
0.437,77422
0.439,75960
0.441,74675
0.443,73280
0.445,70496
0.447,69558
0.449,68310
0.451,66682
0.453,65036
0.455,63383
0.457,62460
0.459,61071
0.461,58977
0.463,57553
0.465,56923
0.467,55641
0.469,54652
0.471,52505
0.473,51562
0.475,50871
0.477,50917
0.479,49372
0.481,47585
0.483,47254
0.485,46975
0.487,45870
0.489,44106
0.491,42952
0.493,43351
0.495,42984
0.497,41288
0.499,40283
0.501,39721
0.503,40080
0.505,38846
0.507,36729
0.509,36000
0.511,36175
0.513,35562
0.515,34497
0.517,33630
0.519,33677
0.521,34014
0.523,33416
0.525,31825
0.527,31034
0.529,30498
0.531,31263
0.533,30024
0.535,28944
0.537,28658
0.539,28828
0.541,28643
0.543,27649
0.545,26213
0.547,26443
0.549,26469
0.551,26240
0.553,25438
0.555,24041
0.557,23895
0.559,24507
0.561,24043
0.563,23011
0.565,22575
0.567,22829
0.569,23315
0.571,22410
0.573,21251
0.575,20469
0.577,20995
0.579,21736
0.581,20718
0.583,19836
0.585,19675
0.587,20146
0.589,19980
0.591,19194
0.593,18276
0.595,18194
0.597,19083
0.599,18603
0.601,17716
0.603,16695
0.605,17049
0.607,17582
0.609,16968
0.611,16212
0.613,15372
0.615,16180
0.617,16616
0.619,16553
0.621,15198
0.623,14876
0.625,15130
0.627,15408
0.629,14953
0.631,13893
0.633,13568
0.635,14172
0.637,14501
0.639,13818
0.641,12919
0.643,12429
0.645,13272
0.647,13732
0.649,13110
0.651,12131
0.653,11778
0.655,12606
0.657,13187
0.659,12457
0.661,11613
0.663,11579
0.665,12189
0.667,12344
0.669,11645
0.671,10827
0.673,10919
0.675,11535
0.677,11733
0.679,10853
0.681,10215
0.683,10134
0.685,10855
0.687,10835
0.689,10445
0.691,9401
0.693,9664
0.695,10426
0.697,10566
0.699,9737
