[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Parallel Beam for 4inch holder, Owner=MRD, Creation date=2012/03/27 14:08:09"
Comment - 2,"Goniometer=PW3050/65 (Theta/2Theta); Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=MRD Cradle; Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size X:0.01; Minimum step size Y:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Reflectivity_Batch.xrdmp, Created identifier={007932df-34e3-4485-9cdc-ce5737d00380}, Created by=User-1, Id=User-1, Creation date=2012/04/06 17:50:18, Modified identifier={70CA96BD-211F-4716-ACCD-1F5C87159915}, Modified by=MRD, Id=WL:DESKTOP-LQ4LR9T:MRD, Modification date=2026/02/02 13:59:34"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0008 deg"
Comment - 7,"Batch program=C:\PANalytical\Data Collector\Programs\Reflectivity_Batch_4inch.xrdmp, Created identifier={960d4441-9b31-4165-bf03-2a9b383547c1}, Created by=User-1, Id=User-1, Creation date=2012/04/06 17:52:19, Modified identifier={1DDEFD67-F033-44A2-A541-9D9449C44B64}, Modified by=MRD, Id=WL:DESKTOP-LQ4LR9T:MRD, Modification date=2026/01/14 13:23:43"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Monochromator used,YES
Generator voltage, 45
Tube current, 40
File date and time,02/2/2026 14:19
Unit cell,
h k l, 0 0 0
Scan axis,Omega-2Theta
Scan range,-0.10000,6.00000
Scan step size,0.0020000
Omega offset,0.0000
No. of points, 3050
Scan type,CONTINUOUS
Phi,0.00
Psi,-0.49
X,0.00
Y,0.00
Z,9.329
Time per step,2.00
[Scan points]
Angle, TimePerStep, Intensity, ESD
-0.09900, 2.00, 0.0, 0.0000
-0.09700, 2.00, 0.0, 0.0000
-0.09500, 2.00, 0.0, 0.0000
-0.09300, 2.00, 0.0, 0.0000
-0.09100, 2.00, 0.0, 0.0000
-0.08900, 2.00, 0.0, 0.0000
-0.08700, 2.00, 0.0, 0.0000
-0.08500, 2.00, 0.0, 0.0000
-0.08300, 2.00, 1.0, 1.0000
-0.08100, 2.00, 0.0, 0.0000
-0.07900, 2.00, 0.0, 0.0000
-0.07700, 2.00, 0.0, 0.0000
-0.07500, 2.00, 0.0, 0.0000
-0.07300, 2.00, 0.0, 0.0000
-0.07100, 2.00, 0.0, 0.0000
-0.06900, 2.00, 0.0, 0.0000
-0.06700, 2.00, 1.0, 1.0000
-0.06500, 2.00, 0.0, 0.0000
-0.06300, 2.00, 1.0, 1.0000
-0.06100, 2.00, 0.0, 0.0000
-0.05900, 2.00, 0.0, 0.0000
-0.05700, 2.00, 0.0, 0.0000
-0.05500, 2.00, 0.0, 0.0000
-0.05300, 2.00, 3.0, 1.7321
-0.05100, 2.00, 2.0, 1.4142
-0.04900, 2.00, 0.0, 0.0000
-0.04700, 2.00, 0.0, 0.0000
-0.04500, 2.00, 0.0, 0.0000
-0.04300, 2.00, 0.0, 0.0000
-0.04100, 2.00, 0.0, 0.0000
-0.03900, 2.00, 0.0, 0.0000
-0.03700, 2.00, 0.0, 0.0000
-0.03500, 2.00, 0.0, 0.0000
-0.03300, 2.00, 1.0, 1.0000
-0.03100, 2.00, 1.0, 1.0000
-0.02900, 2.00, 2.0, 1.4142
-0.02700, 2.00, 1.0, 1.0000
-0.02500, 2.00, 5.0, 2.2361
-0.02300, 2.00, 4.0, 2.0000
-0.02100, 2.00, 2.0, 1.4142
-0.01900, 2.00, 11.0, 3.3166
-0.01700, 2.00, 8.0, 2.8284
-0.01500, 2.00, 18.0, 4.2426
-0.01300, 2.00, 140.0, 11.8322
-0.01100, 2.00, 751.0, 27.4044
-0.00900, 2.00, 4469.0, 66.8506
-0.00700, 2.00, 25446.0, 159.5180
-0.00500, 2.00, 128356.0, 358.2681
-0.00300, 2.00, 525836.0, 725.1455
-0.00100, 2.00, 1459197.0, 10320.9196
0.00100, 2.00, 3005045.0, 14811.0866
0.00300, 2.00, 4067560.0, 17231.7115
0.00500, 2.00, 3837683.0, 16737.7077
0.00700, 2.00, 2970808.0, 14726.4722
0.00900, 2.00, 2022830.0, 12151.8143
0.01100, 2.00, 1301809.0, 9748.4387
0.01300, 2.00, 861400.0, 7929.8298
0.01500, 2.00, 688653.0, 829.8512
0.01700, 2.00, 585164.0, 764.9601
0.01900, 2.00, 555955.0, 745.6239
0.02100, 2.00, 560547.0, 748.6969
0.02300, 2.00, 584467.0, 764.5044
0.02500, 2.00, 616064.0, 784.8974
0.02700, 2.00, 654148.0, 808.7942
0.02900, 2.00, 695130.0, 833.7446
0.03100, 2.00, 739213.0, 859.7750
0.03300, 2.00, 783271.0, 885.0260
0.03500, 2.00, 827867.0, 909.8720
0.03700, 2.00, 869913.0, 932.6913
0.03900, 2.00, 913825.0, 955.9419
0.04100, 2.00, 955136.0, 977.3106
0.04300, 2.00, 998151.0, 999.0751
0.04500, 2.00, 956957.0, 8358.1015
0.04700, 2.00, 1002363.0, 8554.0925
0.04900, 2.00, 1042586.0, 8724.0345
0.05100, 2.00, 1068793.0, 8833.0000
0.05300, 2.00, 1107264.0, 8990.5657
0.05500, 2.00, 1148436.0, 9156.1907
0.05700, 2.00, 1199463.0, 9357.3927
0.05900, 2.00, 1211654.0, 9404.8255
0.06100, 2.00, 1246183.0, 9537.8907
0.06300, 2.00, 1275164.0, 9648.1590
0.06500, 2.00, 1321519.0, 9821.9594
0.06700, 2.00, 1334002.0, 9868.2393
0.06900, 2.00, 1380649.0, 10039.2917
0.07100, 2.00, 1412915.0, 10155.9241
0.07300, 2.00, 1461971.0, 10330.7252
0.07500, 2.00, 1473213.0, 10370.3688
0.07700, 2.00, 1510662.0, 10501.3488
0.07900, 2.00, 1539570.0, 10601.3494
0.08100, 2.00, 1561689.0, 10677.2326
0.08300, 2.00, 1598919.0, 10803.7534
0.08500, 2.00, 1640675.0, 10943.9150
0.08700, 2.00, 1669437.0, 11039.4248
0.08900, 2.00, 1678635.0, 11069.7947
0.09100, 2.00, 1727983.0, 11231.3294
0.09300, 2.00, 1742583.0, 11278.6772
0.09500, 2.00, 1780397.0, 11400.3939
0.09700, 2.00, 1779302.0, 11396.8876
